id,source,short_name,title,doc_type,url,published_date,local_path,sha256,downloaded_at,status
ecb:ecb_sr2024_fa110879af,ecb,ecb_sr2024_fa110879af,Annual Report on Sanctioning Activities in the SSM in 2023,publication,https://www.bankingsupervision.europa.eu/press/other-publications/publications/sanctioning-report/pdf/ssm.sr2024~fa110879af.en.pdf,2024-06-07,docs/guidance/ecb/ecb_sr2024_fa110879af.pdf,a57c0bf1c07b91c2dad842c71caa1282e1e5d77d85eba4d3f3a1187d726c3f77,2026-04-24T22:27:04.656729+00:00,ok
ecb:ecb_pubcon240603_draftguide,ecb,ecb_pubcon240603_draftguide,ECB Guide on outsourcing cloud services to cloud service providers,publication,https://www.bankingsupervision.europa.eu/legalframework/publiccons/pdf/ssm.pubcon240603_draftguide.en.pdf,2024-06-03,docs/guidance/ecb/ecb_pubcon240603_draftguide.pdf,711cd7c7f711162f7ea3dddf1dffdabff7499ea30941ccdfacedc911d148dc84,2026-04-24T22:27:06.192350+00:00,ok
ecb:ecb_written_overview240513_073c63cbf9,ecb,ecb_written_overview240513_073c63cbf9,Written overview ahead of the exchange of views of the Chair of the Supervisory Board of the ECB with the Eurogroup on 13 May 2024,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.written_overview240513~073c63cbf9.en.pdf,2024-05-13,docs/guidance/ecb/ecb_written_overview240513_073c63cbf9.pdf,9a878dc847836adf9bd5466df809099d632310909de5312d1be212292bceb341,2026-04-24T22:27:07.661190+00:00,ok
ecb:ecb_pubcon240503_feedbackstatement,ecb,ecb_pubcon240503_feedbackstatement,Feedback statement on responses to the public consultation on the ECB draft Guide on effective risk data aggregation and risk reporting,publication,https://www.bankingsupervision.europa.eu/legalframework/publiccons/pdf/ssm.pubcon240503_feedbackstatement.en.pdf,2024-05-03,docs/guidance/ecb/ecb_pubcon240503_feedbackstatement.pdf,064cebc353c1b4c48e12ddd05fbed41898636a789fdea1f5069fb2652929b6b9,2026-04-24T22:27:09.228165+00:00,ok
ecb:ecb_listofsupervisedentities202404,ecb,ecb_listofsupervisedentities202404,List of supervised entities - Cut-off date 1 March 2024,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202404.en.pdf,2024-04-18,docs/guidance/ecb/ecb_listofsupervisedentities202404.pdf,f2dea93715b5e31d088a3c894ed392175c100ac0d7ab1f5afc4fec546fa4c159,2026-04-24T22:27:10.714232+00:00,ok
ecb:ecb_supervisorybankingstatistics_fourth_quarter_2023_202404_7168,ecb,ecb_supervisorybankingstatistics_fourth_quarter_2023_202404_7168,Supervisory Banking Statistics for significant institutions - Fourth quarter 2023,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.supervisorybankingstatistics_fourth_quarter_2023_202404~71683cabe2.en.pdf,2024-04-10,docs/guidance/ecb/ecb_supervisorybankingstatistics_fourth_quarter_2023_202404_7168.pdf,383dbf39489ba3f52cb8cfafaf8a8b0cd78aa16fd5684020a3496c9b368e6cff,2026-04-24T22:27:12.413817+00:00,ok
ecb:ecb_vacnot_repssb_2024_ce107d2603,ecb,ecb_vacnot_repssb_2024_ce107d2603,Vacancy notice - ECB representatives to the Supervisory Board,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.vacnot_repsSB_2024~ce107d2603.en.pdf,2024-03-27,docs/guidance/ecb/ecb_vacnot_repssb_2024_ce107d2603.pdf,377bd692cd2d9bf102089401d0c6a1b10ffd9dc554ac85a1732e0dd523ed7355,2026-04-24T22:27:13.670128+00:00,ok
ecb:ecb_feedbackar202403,ecb,ecb_feedbackar202403,Feedback on the input provided by the European Parliament as part of its Resolution on Banking Union 2023,publication,https://www.bankingsupervision.europa.eu/press/other-publications/publications/feedbackar/pdf/ssm.feedbackar202403.en.pdf,2024-03-25,docs/guidance/ecb/ecb_feedbackar202403.pdf,c39cb97e701e8fa3e697b0a24c288b40bc904558b1a851107c959dee387d21d8,2026-04-24T22:27:15.185548+00:00,ok
ecb:ecb_ar2023_2def923d71,ecb,ecb_ar2023_2def923d71,ECB Annual Report on supervisory activities 2023,publication,https://www.bankingsupervision.europa.eu/press/other-publications/annual-report/pdf/ssm.ar2023~2def923d71.en.pdf,2024-03-21,docs/guidance/ecb/ecb_ar2023_2def923d71.pdf,41059596639e2f6cab91058357f4faa88a4f00f5b33e4a37a09b0ac26b78c03c,2026-04-24T22:27:16.731155+00:00,ok
ecb:ecb_listofsupervisedentities202402,ecb,ecb_listofsupervisedentities202402,List of supervised entities (as of 1 January 2024),publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202402.en.pdf,2024-02-22,docs/guidance/ecb/ecb_listofsupervisedentities202402.pdf,f06747c914ffccf8648ce93966028322cbdbf825e1fd311620cc34e9ad583660,2026-04-24T22:27:18.235508+00:00,ok
ecb:ecb_outsourcing_horizontal_analysis_202402_2b85022be5,ecb,ecb_outsourcing_horizontal_analysis_202402_2b85022be5,Outsourcing register - annual horizontal analysis,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.outsourcing_horizontal_analysis_202402~2b85022be5.en.pdf,2024-02-21,docs/guidance/ecb/ecb_outsourcing_horizontal_analysis_202402_2b85022be5.pdf,9bd00ecc0c6e53283b7ad212a9ecf62eba8e14fdde5a85854b74b55d0767e409,2026-04-24T22:27:19.702687+00:00,ok
ecb:ecb_pubcon240219_feedbackstatement,ecb,ecb_pubcon240219_feedbackstatement,Feedback statement - Responses to the public consultation on the revised ECB guide to internal models,publication,https://www.bankingsupervision.europa.eu/legalframework/publiccons/pdf/ssm.pubcon240219_feedbackstatement.en.pdf,2024-02-19,docs/guidance/ecb/ecb_pubcon240219_feedbackstatement.pdf,2617e89c3235465c7ba578eea78a7e3b483a48cc0dd99bb77220e6e380975e03,2026-04-24T22:27:21.283008+00:00,ok
